dataset,n,model,family,mean_test_rss,sd_test_rss,mean_test_mae_deg,p_median,gamma_median
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Parametric p=1 (Archimedean),parametric_fixed_p,0.5447191965656087,0.2530752196395226,34.67429486492062,1.0,-0.44278598424680404
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Parametric p=2 (Fermat),parametric_fixed_p,0.538353058296989,0.26695270015344613,34.71492796771024,2.0,2.926757218840879
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Parametric continuous p,parametric_continuous_p,0.5449201612708184,0.27586051104078846,34.893850599923475,2.999,-0.033449457598273766
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Parametric p=0 (Logarithmic),parametric_fixed_p,0.4726413809003113,0.1905706696429449,32.0804741651105,0.0,-1.6072275347449057
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Parametric p=1 (Archimedean),parametric_fixed_p,0.47147281570552596,0.17770469161376845,32.2673201782083,1.0,-0.5578512233677256
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Parametric p=2 (Fermat),parametric_fixed_p,0.48362435804096116,0.1686979522867086,32.776804223345096,2.0,0.8823366344408617
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Parametric continuous p,parametric_continuous_p,0.4741573290654924,0.19000738130923553,32.16297298340403,0.43734519486132417,1.2610417998426797
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6927451202114636,0.12907279507193775,39.833731577953486,0.0,1.3060670457807442
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Parametric p=1 (Archimedean),parametric_fixed_p,0.7252109727240723,0.1400351691585282,41.59992658530108,1.0,-1.3632850067180438
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Parametric p=2 (Fermat),parametric_fixed_p,0.7052074958247521,0.15295300273279291,40.71374077860483,2.0,-0.1662069586496266
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Parametric continuous p,parametric_continuous_p,0.7200902904960585,0.1410672734575664,40.40017837883269,-0.999,-0.007715338307587356
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6158116748624791,0.15307321955200762,38.2820838074031,0.0,-1.4741473906795641
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Parametric p=1 (Archimedean),parametric_fixed_p,0.612287050642804,0.1486824072986863,38.0637004662715,1.0,2.631447999821189
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Parametric p=2 (Fermat),parametric_fixed_p,0.6160918449667804,0.14725448763659987,38.163933474922565,2.0,3.029368974313668
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Parametric continuous p,parametric_continuous_p,0.6143290998769994,0.14956945212663147,38.108759339326845,0.905998858058285,0.9249974842481596
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6425418025569061,0.1516169797646875,38.55552940678531,0.0,0.035277140274292185
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Parametric p=1 (Archimedean),parametric_fixed_p,0.6098839887500672,0.15537419098407332,37.552596992305915,1.0,-0.6659423406631999
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Parametric p=2 (Fermat),parametric_fixed_p,0.5998240741704697,0.15096761825123606,37.14688343253412,2.0,-0.6823522359364984
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Parametric continuous p,parametric_continuous_p,0.6366651967916119,0.15568713594847894,38.518420998849905,-0.0308219246120453,0.5717087917691743
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6058140659839195,0.09423874123208907,37.34345138253553,0.0,1.392952481282733
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Parametric p=1 (Archimedean),parametric_fixed_p,0.6175313437086087,0.09851261769894715,38.148182038209654,1.0,0.3987217745497512
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Parametric p=2 (Fermat),parametric_fixed_p,0.6327615686363699,0.12262756511688745,38.28740823041217,2.0,0.03271590180969931
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Parametric continuous p,parametric_continuous_p,0.6130414939458368,0.09421644870674876,37.62138984451836,0.2588350481711229,1.1149991953893568
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6416709100447762,0.2943276252719653,38.85163712938816,0.0,1.4992508989689153
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Parametric p=1 (Archimedean),parametric_fixed_p,0.62790804210916,0.27688869029321916,38.69867209841542,1.0,-1.1197501984969414
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Parametric p=2 (Fermat),parametric_fixed_p,0.632138354971396,0.2644959817030034,39.071221503028404,2.0,-1.5231082864179748
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Parametric continuous p,parametric_continuous_p,0.6322259737574066,0.2662582827435269,38.97883748072984,2.947350470539674,-3.1286239305537946
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7101998265403477,0.1695482909801524,41.23564534680619,0.0,-1.4702557898431687
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Parametric p=1 (Archimedean),parametric_fixed_p,0.6665550610464834,0.14372673011305423,40.12506917362676,1.0,2.9045057378388877
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Parametric p=2 (Fermat),parametric_fixed_p,0.6533117193596916,0.15531546112575434,39.893371794979934,2.0,-0.013666390787409895
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Parametric continuous p,parametric_continuous_p,0.6666508921899059,0.16637467399433695,40.29066827485667,2.334535997814579,1.5632497723765095
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6630614600704025,0.13727842676585697,39.801130191243814,0.0,0.1657055119544688
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Parametric p=1 (Archimedean),parametric_fixed_p,0.6622444434743462,0.12083433371351318,39.58998956812412,1.0,-0.287531963564558
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Parametric p=2 (Fermat),parametric_fixed_p,0.6949414462823599,0.12158699946930265,40.569627537823365,2.0,2.9566131655807784
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Parametric continuous p,parametric_continuous_p,0.6826158439239841,0.13127757895832828,40.31626324214709,0.6266659924989997,-0.5944826758071389
