dataset,n,model,family,p,gamma,rss,rss_per_point,mae_deg,log_likelihood,bic,bic_log_evidence,k_params
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Parametric continuous p,parametric_continuous_p,0.23857787954735374,0.3619738710893221,42.96024661950579,0.6609268710693198,38.54752529932805,-78.77236208969883,165.89349871918893,-82.94674935959446,2
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.6025104104064054,112.99216333828087,0.6569311821993075,38.606695674989915,-207.92229072266224,420.99207592213793,-210.49603796106896,1
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-0.6099676979060572,112.56750285489375,0.654462225900545,38.596831690778785,-207.5984664739598,420.34442742473306,-210.17221371236653,1
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-0.13764221839348265,112.88669975492108,0.6563180218309366,38.746564698006104,-207.84198335167753,420.8314611801685,-210.41573059008425,1
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Parametric continuous p,parametric_continuous_p,1.0783129681837156,2.625307722372647,112.56303373021134,0.6544362426175078,38.61315091200654,-207.59505205734115,425.4850930683092,-212.7425465341546,2
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-1.2346794733896755,26.017211266318153,0.6345661284467842,37.4037120975455,-48.852797455276914,101.41916697725813,-50.709583488629065,1
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-0.6428785211369753,26.250885146650774,0.6402654913817262,38.742219117462454,-49.03609651495486,101.78576509661403,-50.892882548307014,1
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-0.1493914406682346,26.20259504524997,0.6390876840304871,38.87265223383257,-48.99835078846454,101.71027364363339,-50.85513682181669,1
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Parametric continuous p,parametric_continuous_p,-0.999,-1.531816350209251,24.72232244328551,0.6029834742264758,36.58809950098232,-47.80623734597834,103.0396188253653,-51.51980941268265,2
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.6911683598189733,35.8458473197024,0.5271448135250353,33.73538777289896,-74.71830094758532,153.65610960034675,-76.82805480017338,1
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-0.5478725629539613,35.51701467481277,0.5223090393354819,33.85934308238674,-74.40496180326895,153.029431311714,-76.514715655857,1
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Parametric p=2 (Fermat),parametric_fixed_p,2.0,2.944453265723646,35.36681465101182,0.5201002154560562,33.91983563069232,-74.26087228381182,152.74125227279976,-76.37062613639988,1
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Parametric continuous p,parametric_continuous_p,2.999,-0.0844992614429689,35.29054728542875,0.5189786365504228,33.78126568516254,-74.18747323901798,156.81396188838818,-78.40698094419409,2
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-1.6283479649647623,46.18866234443223,0.46655214489325486,32.07306197449973,-102.73683323206912,210.0687863142728,-105.0343931571364,1
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,0.9446023487656335,46.298555920523384,0.4676621810153877,32.156034954903575,-102.8544653693211,210.3040505887768,-105.1520252943884,1
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Parametric p=2 (Fermat),parametric_fixed_p,2.0,1.6492077991941525,46.51637616350378,0.46986238548993714,32.32378079721846,-103.08680130018753,210.76872245050964,-105.38436122525482,1
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Parametric continuous p,parametric_continuous_p,0.40712601454131114,1.3607723475403652,46.14073795632619,0.46606806016491104,32.01169785399352,-102.68544640584544,214.56113251196007,-107.28056625598003,2
