dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,3.0,0.3846173688211135,0.16838999667788473,26.953502382701448
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,4.0,0.38462156029028427,0.16839237496026843,26.95364796896693
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,6.0,0.38462998583511926,0.16839711969966598,26.95394081162853
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,8.0,0.38463846757350895,0.16840184894079585,26.954235850284544
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,12.0,0.38465559671520955,0.16841126220329106,26.954832369288635
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,16.0,0.38467294196341084,0.1684206172632207,26.955437237273408
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,24.0,0.3847082583844137,0.16843916256217933,26.956670895715746
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,32.0,0.384744373204649,0.16845750386692215,26.957957665794755
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,48.0,0.38481883214438123,0.16849364632082237,26.96129054969004
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.1084948498869287,64.0,0.3848960024847016,0.16852917991587169,26.964653035810635
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.2287608322258445,0.0,0.3844352871378068,0.16741014256533474,26.951907057527364
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.2287608322258445,0.125,0.3844356862841475,0.16741052593247746,26.95191873000498
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.2287608322258445,0.25,0.3844360857901032,0.16741090917749255,26.95193041747753
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.2287608322258445,0.5,0.38443688587948704,0.1674116753015848,26.951953837349105
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.2287608322258445,0.75,0.38443768740321765,0.16741244093850882,26.951977317025488
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.2287608322258445,1.0,0.38443849035855926,0.1674132060891621,26.952000856390203
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.2287608322258445,1.25,0.38443929474278205,0.1674139707544411,26.95202445532699
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.2287608322258445,1.5,0.3844401005531608,0.16741473493524034,26.95204811371972
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.2287608322258445,2.0,0.38444171644151803,0.16741626184697614,26.95209560840967
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.2287608322258445,3.0,0.38444496521284255,0.16741930989598408,26.95219130617353
