dataset,n,estimator,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW uniform line field,uniform,1.0,,,0.30787619827417284,0.27724709611530957,23.763048652986367,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW uniform line field,uniform,2.1608857798687535,,,0.30787619827417284,0.27724709611530957,23.763048652986367,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW uniform line field,uniform,4.669427353638992,,,0.30787619827417284,0.27724709611530957,23.763048652986367,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW uniform line field,uniform,10.090099168608685,,,0.31088067863184754,0.30647508439246596,23.177383423929577,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW uniform line field,uniform,21.80355181091204,,,0.2338562197345468,0.23181289006736172,19.57411668264634,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW uniform line field,uniform,47.11498505883144,,,1.1455657078841337,0.33110655722028226,56.792644691429054,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW uniform line field,uniform,101.81010123235768,,,0.948128429242147,0.48348295351548887,50.43181721643062,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,Nadaraya-Watson,NW uniform line field,uniform,220.0,,,0.9478907661016418,0.4830978936757274,50.42802424446221,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,1.0,,0.03,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,1.0,,0.06,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,1.0,,0.1,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,1.0,,0.18,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,1.0,,0.32,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,1.0,,0.56,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,1.0,,1.0,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,2.1608857798687535,,0.03,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,2.1608857798687535,,0.06,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,2.1608857798687535,,0.1,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,2.1608857798687535,,0.18,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,2.1608857798687535,,0.32,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,2.1608857798687535,,0.56,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,2.1608857798687535,,1.0,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,4.669427353638992,,0.03,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,4.669427353638992,,0.06,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,4.669427353638992,,0.1,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,4.669427353638992,,0.18,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,4.669427353638992,,0.32,0.9045980873724007,0.5480888595060837,49.20882186753601,10
