dataset,n,estimator,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Nadaraya-Watson,NW uniform line field,uniform,1.0,,,0.1456185874885953,0.08021073021619089,16.20466254067022,10
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,21.80355181091204,32.0,0.56,0.062241462231533796,0.11156832746635807,8.901881746475485,10
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,1.0,0.08250075871024368,0.14353016410147162,10.103156845664726,10
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,0.06,0.5032231573445896,0.23151905012097743,33.26848875015821,10
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,220.0,32.0,,0.06960503206555273,0.11595199885592611,10.021000256757095,10
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Nadaraya-Watson,NW RBF line field,rbf,4.669427353638992,,,0.09277376791334402,0.12110865957148641,12.23339014812014,10
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Nadaraya-Watson,NW uniform line field,uniform,1.0,,,0.10057723955137159,0.10016446488530961,13.548292290196594,10
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,10.090099168608685,2.0,0.56,0.12052977671001823,0.08755795135139448,12.28225257888374,10
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,GP/KRR,GP/KRR RBF line field,rbf,4.669427353638992,,0.56,0.1326180372395824,0.08738022594188637,14.642587687212089,10
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.06,0.5983992497906305,0.19239109205792926,36.67416285232327,10
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,2.1608857798687535,0.0,,0.1508910294852196,0.08920105948388853,16.59890116939139,10
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Nadaraya-Watson,NW RBF line field,rbf,2.1608857798687535,,,0.1508910294852196,0.08920105948388853,16.59890116939139,10
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Nadaraya-Watson,NW uniform line field,uniform,10.090099168608685,,,0.1919860083771484,0.12743053715047195,18.840234520465454,10
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,220.0,4.0,1.0,0.15238298169475434,0.13617201466315348,14.495431248310558,10
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,0.32,0.2202212855873856,0.18760684633314295,17.420299933416295,10
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,GP/KRR,GP/KRR uniform line field,uniform,47.11498505883144,,1.0,0.5679207448655712,0.24359318650807166,37.00518584517683,10
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,220.0,32.0,,0.2074052495262509,0.18637327015103786,17.27075327137279,10
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Nadaraya-Watson,NW RBF line field,rbf,4.669427353638992,,,0.3013837149620294,0.20664110291795204,23.75429511792138,10
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Nadaraya-Watson,NW uniform line field,uniform,10.090099168608685,,,0.30719478905533926,0.2043355538671352,23.88762357071155,10
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,21.80355181091204,0.5,0.32,0.1730004957287055,0.1550853264846319,16.263629742856416,10
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,0.56,0.1755464836082033,0.13994367267775354,17.162698511066218,10
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,1.0,0.5199134522863977,0.32679252394833874,34.65450513593785,10
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,21.80355181091204,8.0,,0.22486690122122002,0.20820321270388997,19.201273627278105,10
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Nadaraya-Watson,NW RBF line field,rbf,10.090099168608685,,,0.2457798246321501,0.23358593497344277,21.004870693824866,10
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Nadaraya-Watson,NW uniform line field,uniform,21.80355181091204,,,0.238853269559092,0.2133549598933069,21.627797819842886,10
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,47.11498505883144,16.0,0.1,0.08802115608375845,0.09005077821147404,10.637887027780774,10
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,0.56,0.13650470136092044,0.2121608675954874,14.30059202812503,10
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.32,0.5502328642579879,0.18758973097428003,35.68660253146046,10
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,4.669427353638992,32.0,,0.15581878984410852,0.20914409196449152,14.992210921698572,10
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Nadaraya-Watson,NW RBF line field,rbf,2.1608857798687535,,,0.19704774184254842,0.2039387555937516,18.716435492460395,10
